session_id,user_id,vehicle_id,station_id,start_time,end_time,duration_min,energy_kWh,session_day,session_type
CS0144,U202,V087,S068,2024-11-23 22:24:00,2024-11-23 23:36:00,72,62.56,Weekday,Regular
CS0145,U100,V265,S022,2024-11-16 16:04:00,2024-11-16 17:44:00,100,60.28,Weekday,Regular
CS0146,U456,V012,S098,2024-11-23 22:48:00,2024-11-23 23:26:00,38,28.19,Weekend,Occasional
CS0147,U421,V140,S049,2024-11-08 07:52:00,2024-11-08 09:44:00,112,82.42,Weekend,Regular
CS0148,U175,V472,S082,2024-11-15 18:01:00,2024-11-15 19:55:00,114,31.38,Weekday,Occasional
CS0149,U190,V287,S100,2024-11-18 11:05:00,2024-11-18 12:46:00,101,76.74,Weekday,Emergency
CS0150,U421,V153,S009,2024-11-27 17:33:00,2024-11-27 19:18:00,105,32.22,Weekend,Emergency
CS0151,U351,V023,S083,2024-11-06 08:12:00,2024-11-06 09:35:00,83,29.58,Weekend,Occasional
CS0152,U078,V200,S078,2024-11-12 13:13:00,2024-11-12 14:19:00,66,29.46,Weekend,Emergency
CS0153,U054,V136,S016,2024-11-04 18:58:00,2024-11-04 20:14:00,76,40.01,Weekday,Regular
CS0154,U141,V155,S099,2024-11-13 16:15:00,2024-11-13 17:25:00,70,45.71,Weekend,Regular
CS0155,U210,V353,S077,2024-11-19 22:42:00,2024-11-20 00:34:00,112,80.63,Weekday,Regular
CS0156,U137,V291,S066,2024-11-09 22:02:00,2024-11-09 22:43:00,41,31.58,Weekday,Regular
CS0157,U191,V423,S062,2024-11-04 14:40:00,2024-11-04 15:34:00,54,26.11,Weekend,Occasional
CS0158,U456,V078,S074,2024-11-23 11:34:00,2024-11-23 12:52:00,78,58.99,Weekend,Emergency
CS0159,U031,V062,S005,2024-11-13 11:03:00,2024-11-13 12:49:00,106,44.63,Weekday,Regular
CS0160,U132,V399,S024,2024-11-19 14:16:00,2024-11-19 14:47:00,31,18.45,Weekend,Regular
CS0161,U145,V271,S100,2024-11-06 08:53:00,2024-11-06 09:42:00,49,41.55,Weekend,Occasional
CS0162,U051,V497,S021,2024-11-08 07:30:00,2024-11-08 08:19:00,49,16.28,Weekend,Occasional
CS0163,U311,V353,S014,2024-11-11 17:06:00,2024-11-11 18:13:00,67,47.76,Weekend,Regular
CS0164,U020,V381,S053,2024-11-07 19:30:00,2024-11-07 20:52:00,82,51.99,Weekday,Regular
CS0165,U077,V152,S018,2024-11-04 22:18:00,2024-11-05 00:10:00,112,40.89,Weekday,Regular
CS0166,U205,V426,S040,2024-11-17 06:33:00,2024-11-17 08:06:00,93,48.44,Weekend,Occasional
CS0167,U258,V355,S009,2024-11-02 15:58:00,2024-11-02 17:07:00,69,66.63,Weekend,Emergency
CS0168,U375,V401,S018,2024-11-09 18:47:00,2024-11-09 19:47:00,60,22.85,Weekday,Emergency
CS0169,U059,V147,S033,2024-11-08 08:50:00,2024-11-08 09:53:00,63,42.95,Weekend,Emergency
CS0170,U202,V444,S082,2024-11-09 12:02:00,2024-11-09 12:35:00,33,22.76,Weekday,Occasional
CS0171,U437,V220,S074,2024-11-09 15:36:00,2024-11-09 17:19:00,103,50.02,Weekend,Occasional
CS0172,U067,V319,S028,2024-11-23 16:57:00,2024-11-23 18:47:00,110,45.88,Weekend,Emergency
CS0173,U330,V238,S100,2024-11-26 22:11:00,2024-11-26 22:51:00,40,21.0,Weekday,Regular
CS0174,U161,V354,S091,2024-11-24 07:55:00,2024-11-24 08:56:00,61,22.2,Weekday,Occasional
CS0175,U227,V065,S043,2024-11-22 09:39:00,2024-11-22 11:20:00,101,57.99,Weekday,Regular
CS0176,U455,V067,S041,2024-11-21 07:02:00,2024-11-21 08:37:00,95,42.07,Weekday,Regular
CS0177,U458,V109,S007,2024-11-09 12:53:00,2024-11-09 13:30:00,37,24.52,Weekday,Emergency
CS0178,U356,V118,S058,2024-11-15 16:15:00,2024-11-15 17:01:00,46,24.85,Weekday,Occasional
CS0179,U463,V018,S007,2024-11-08 06:10:00,2024-11-08 06:49:00,39,12.87,Weekend,Regular
CS0180,U069,V497,S094,2024-11-28 19:32:00,2024-11-28 20:57:00,85,35.98,Weekend,Occasional
CS0181,U012,V131,S009,2024-11-19 07:48:00,2024-11-19 09:41:00,113,49.86,Weekend,Emergency
CS0182,U385,V057,S088,2024-11-22 16:46:00,2024-11-22 18:28:00,102,33.53,Weekend,Regular
CS0183,U398,V270,S047,2024-11-19 16:36:00,2024-11-19 17:17:00,41,20.42,Weekend,Regular
CS0184,U004,V028,S058,2024-11-23 16:21:00,2024-11-23 18:18:00,117,64.07,Weekday,Emergency
CS0185,U021,V166,S019,2024-11-18 15:36:00,2024-11-18 16:56:00,80,20.06,Weekend,Emergency
CS0186,U026,V375,S024,2024-11-08 16:00:00,2024-11-08 17:43:00,103,33.38,Weekday,Regular
CS0187,U308,V175,S014,2024-11-11 08:13:00,2024-11-11 08:48:00,35,9.83,Weekday,Emergency
CS0188,U462,V010,S019,2024-11-19 16:31:00,2024-11-19 18:01:00,90,50.25,Weekday,Occasional
CS0189,U423,V474,S025,2024-11-27 08:28:00,2024-11-27 09:57:00,89,69.27,Weekend,Emergency
CS0190,U013,V248,S001,2024-11-11 13:09:00,2024-11-11 13:51:00,42,16.56,Weekend,Regular
CS0191,U469,V196,S027,2024-11-14 13:37:00,2024-11-14 15:27:00,110,55.93,Weekend,Occasional
CS0192,U435,V367,S029,2024-11-11 20:12:00,2024-11-11 20:54:00,42,16.28,Weekend,Occasional
CS0193,U400,V433,S066,2024-11-02 20:06:00,2024-11-02 22:04:00,118,87.68,Weekday,Regular
CS0194,U451,V476,S012,2024-11-16 10:53:00,2024-11-16 12:16:00,83,55.79,Weekend,Occasional
CS0195,U053,V420,S056,2024-11-10 19:55:00,2024-11-10 21:17:00,82,27.21,Weekday,Emergency
CS0196,U258,V400,S072,2024-11-21 18:03:00,2024-11-21 19:07:00,64,29.25,Weekday,Occasional
CS0197,U390,V357,S033,2024-11-19 08:19:00,2024-11-19 09:26:00,67,57.01,Weekend,Emergency
CS0198,U128,V404,S033,2024-11-02 11:52:00,2024-11-02 12:58:00,66,18.97,Weekend,Emergency
CS0199,U190,V249,S043,2024-11-19 15:53:00,2024-11-19 16:37:00,44,28.65,Weekend,Emergency
CS0200,U142,V062,S085,2024-11-12 07:41:00,2024-11-12 08:50:00,69,34.05,Weekday,Emergency
CS0201,U129,V362,S096,2024-11-09 21:59:00,2024-11-09 22:34:00,35,11.89,Weekend,Occasional
CS0202,U424,V120,S064,2024-11-25 11:50:00,2024-11-25 13:22:00,92,42.46,Weekend,Emergency
CS0203,U047,V136,S064,2024-11-14 21:48:00,2024-11-14 22:43:00,55,26.76,Weekday,Occasional
CS0204,U445,V075,S036,2024-11-12 13:56:00,2024-11-12 15:18:00,82,64.57,Weekday,Occasional
CS0205,U102,V276,S071,2024-11-01 13:05:00,2024-11-01 13:42:00,37,10.45,Weekend,Emergency
CS0206,U134,V129,S076,2024-11-19 22:45:00,2024-11-20 00:30:00,105,42.5,Weekend,Emergency
CS0207,U389,V034,S093,2024-11-04 18:21:00,2024-11-04 19:12:00,51,24.12,Weekday,Occasional
CS0208,U112,V280,S086,2024-11-03 13:50:00,2024-11-03 15:38:00,108,50.64,Weekday,Occasional
CS0209,U136,V176,S049,2024-11-25 14:00:00,2024-11-25 14:50:00,50,47.75,Weekday,Occasional
CS0210,U269,V099,S028,2024-11-18 22:13:00,2024-11-18 23:08:00,55,19.29,Weekday,Regular
CS0211,U474,V441,S067,2024-11-07 19:21:00,2024-11-07 20:44:00,83,27.18,Weekend,Emergency
CS0212,U216,V275,S027,2024-11-25 10:01:00,2024-11-25 11:36:00,95,64.07,Weekday,Occasional
CS0213,U061,V023,S067,2024-11-24 10:42:00,2024-11-24 11:12:00,30,12.66,Weekend,Occasional
CS0214,U157,V065,S078,2024-11-04 08:23:00,2024-11-04 09:46:00,83,34.58,Weekday,Regular
CS0215,U281,V295,S058,2024-11-20 22:16:00,2024-11-20 23:24:00,68,28.32,Weekend,Emergency
CS0216,U153,V173,S021,2024-11-08 14:09:00,2024-11-08 14:50:00,41,13.32,Weekday,Emergency
CS0217,U088,V194,S071,2024-11-14 11:23:00,2024-11-14 12:06:00,43,21.06,Weekday,Regular
CS0218,U151,V296,S072,2024-11-13 19:43:00,2024-11-13 21:07:00,84,43.76,Weekday,Emergency
CS0219,U223,V070,S058,2024-11-15 18:46:00,2024-11-15 19:16:00,30,10.7,Weekday,Emergency
CS0220,U275,V096,S038,2024-11-16 16:59:00,2024-11-16 18:56:00,117,78.9,Weekend,Regular
CS0221,U465,V075,S006,2024-11-11 15:47:00,2024-11-11 17:09:00,82,67.21,Weekday,Occasional
CS0222,U393,V281,S079,2024-11-28 21:26:00,2024-11-28 22:42:00,76,60.51,Weekday,Regular
CS0223,U219,V469,S068,2024-11-13 19:24:00,2024-11-13 21:07:00,103,37.95,Weekday,Occasional
CS0224,U058,V106,S007,2024-11-26 12:41:00,2024-11-26 14:33:00,112,40.08,Weekend,Regular
CS0225,U177,V244,S019,2024-11-16 21:28:00,2024-11-16 23:21:00,113,77.43,Weekday,Occasional
CS0226,U106,V273,S032,2024-11-19 16:58:00,2024-11-19 17:56:00,58,20.83,Weekend,Emergency
CS0227,U092,V356,S056,2024-11-06 18:56:00,2024-11-06 20:53:00,117,71.1,Weekend,Emergency
CS0228,U118,V343,S084,2024-11-15 07:52:00,2024-11-15 08:45:00,53,21.3,Weekday,Occasional
CS0229,U275,V046,S082,2024-11-26 09:38:00,2024-11-26 10:47:00,69,28.9,Weekend,Emergency
CS0230,U145,V069,S024,2024-11-09 16:09:00,2024-11-09 17:34:00,85,42.58,Weekend,Emergency
CS0231,U070,V254,S002,2024-11-16 12:49:00,2024-11-16 13:25:00,36,11.94,Weekend,Emergency
CS0232,U400,V281,S018,2024-11-20 10:31:00,2024-11-20 11:04:00,33,22.61,Weekday,Emergency
CS0233,U399,V429,S068,2024-11-26 09:49:00,2024-11-26 11:12:00,83,52.98,Weekend,Regular
CS0234,U167,V359,S036,2024-11-10 11:24:00,2024-11-10 12:51:00,87,58.54,Weekend,Regular
CS0235,U452,V232,S007,2024-11-05 22:12:00,2024-11-06 00:08:00,116,65.36,Weekend,Regular
CS0236,U223,V499,S059,2024-11-24 20:24:00,2024-11-24 21:35:00,71,54.79,Weekend,Occasional
CS0237,U396,V450,S009,2024-11-11 14:56:00,2024-11-11 16:40:00,104,65.93,Weekend,Regular
CS0238,U316,V125,S019,2024-11-16 07:07:00,2024-11-16 08:59:00,112,87.25,Weekday,Occasional
CS0239,U083,V276,S019,2024-11-01 16:20:00,2024-11-01 17:35:00,75,25.61,Weekend,Emergency
CS0240,U145,V145,S080,2024-11-16 21:49:00,2024-11-16 22:25:00,36,22.28,Weekday,Regular
CS0241,U320,V288,S029,2024-11-18 13:54:00,2024-11-18 15:47:00,113,105.99,Weekday,Emergency
CS0242,U329,V150,S075,2024-11-20 21:53:00,2024-11-20 22:30:00,37,29.46,Weekday,Emergency
CS0243,U002,V371,S041,2024-11-17 07:30:00,2024-11-17 09:10:00,100,48.63,Weekday,Emergency
CS0244,U224,V348,S055,2024-11-19 15:52:00,2024-11-19 17:51:00,119,98.85,Weekend,Occasional
CS0245,U115,V417,S010,2024-11-10 06:09:00,2024-11-10 06:42:00,33,23.89,Weekday,Emergency
CS0246,U355,V170,S033,2024-11-11 18:42:00,2024-11-11 20:29:00,107,82.08,Weekend,Occasional
CS0247,U373,V474,S060,2024-11-13 21:08:00,2024-11-13 22:36:00,88,78.52,Weekend,Occasional
CS0248,U375,V120,S085,2024-11-12 09:35:00,2024-11-12 10:44:00,69,42.03,Weekend,Regular
CS0249,U440,V029,S070,2024-11-18 08:21:00,2024-11-18 09:39:00,78,42.03,Weekend,Regular
