station name,street address,city,state,zip,ev level1 evse num,ev level2 evse num,ev dc fast count,ev network,ev connector types,access code,facility type,total_chargers,has_level1,has_level2,has_dc_fast,zip_code,county_name,electricity_rate_per_kwh,rate_tier_x,rate_per_kwh,rate_tier_y
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,1.0,0.0,0.0,Non-Networked,NEMA520,public,SHOPPING_CENTER,1.0,True,False,False,95620.0,Solano,0.4597,Low,0.4597,Low
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,95667.0,El Dorado,0.4597,Low,0.4597,Low
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,95762.0,El Dorado,0.4597,Low,0.4597,Low
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,0.0,1.0,0.0,Non-Networked,J1772,private,CAR_DEALER,1.0,False,True,False,95758.0,Sacramento,0.3869,Lowest,0.3869,Lowest
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,0.0,1.0,0.0,Non-Networked,J1772,public,CONVENIENCE_STORE,1.0,False,True,False,95746.0,Placer,0.4597,Low,0.4597,Low
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,0.0,1.0,0.0,Non-Networked,J1772,public,LIBRARY,1.0,False,True,False,95608.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,0.0,1.0,0.0,Non-Networked,J1772,public,MUNI_GOV,1.0,False,True,False,94571.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,94533.0,Solano,0.4597,Low,0.4597,Low
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,0.0,3.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,3.0,False,True,False,94534.0,Napa,0.4597,Low,0.4597,Low
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,0.0,0.0,0.0,Non-Networked,,public,TRAVEL_CENTER,0.0,False,False,False,94590.0,Solano,0.4597,Low,0.4597,Low
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,0.0,20.0,0.0,Non-Networked,J1772,public,AIRPORT,20.0,False,True,False,90045.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,0.0,1.0,0.0,Non-Networked,J1772,private,MUNI_GOV,1.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
Southern California Edison - Sacramento Office,1201 K St,Sacramento,CA,95831,0.0,1.0,0.0,Non-Networked,J1772,private,UTILITY,1.0,False,True,False,95831.0,Sacramento,0.3869,Lowest,0.3869,Lowest
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,0.0,17.0,0.0,Non-Networked,J1772,private,UTILITY,17.0,False,True,False,90026.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,0.0,19.0,0.0,Non-Networked,J1772,private,UTILITY,19.0,False,True,False,90015.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,0.0,79.0,0.0,Non-Networked,J1772,private,UTILITY,79.0,False,True,False,90031.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,0.0,2.0,0.0,Non-Networked,J1772,private,UTILITY,2.0,False,True,False,90744.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,0.0,95.0,2.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,97.0,False,True,True,91405.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,0.0,17.0,0.0,Non-Networked,J1772,private,UTILITY,17.0,False,True,False,91352.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,95482.0,Mendocino,0.4597,Low,0.4597,Low
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,1.0,1.0,0.0,Non-Networked,J1772 NEMA515,public,SHOPPING_CENTER,2.0,True,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,95616,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,2.0,False,True,False,95616.0,Solano,0.4597,Low,0.4597,Low
Davis Amtrak Station,840 2nd St,Davis,CA,95616,0.0,2.0,0.0,Non-Networked,J1772,public,PAY_LOT,2.0,False,True,False,95616.0,Solano,0.4597,Low,0.4597,Low
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,3.0,7.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,10.0,True,True,False,95616.0,Solano,0.4597,Low,0.4597,Low
University Covenant Church,315 Mace Blvd,Davis,CA,95618,0.0,1.0,0.0,Non-Networked,J1772,public,PLACE_OF_WORSHIP,1.0,False,True,False,95618.0,Solano,0.4597,Low,0.4597,Low
Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,0.0,2.0,0.0,Non-Networked,J1772,public,REC_SPORTS_FACILITY,2.0,False,True,False,95618.0,Solano,0.4597,Low,0.4597,Low
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,2.0,False,True,False,90712.0,Los Angeles,0.3,Lowest,0.3,Lowest
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,94939.0,Marin,0.4597,Low,0.4597,Low
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,0.0,4.0,0.0,Non-Networked,J1772,public,AIRPORT,4.0,False,True,False,94621.0,Alameda,0.4597,Low,0.4597,Low
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,0.0,2.0,0.0,Non-Networked,J1772,public,TRAVEL_CENTER,2.0,False,True,False,94533.0,Solano,0.4597,Low,0.4597,Low
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,2.0,False,True,False,93405.0,San Luis Obispo,0.4597,Low,0.4597,Low
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,4.0,False,True,False,93401.0,San Luis Obispo,0.4597,Low,0.4597,Low
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,0.0,3.0,0.0,Non-Networked,J1772,public,CAR_DEALER,3.0,False,True,False,90401.0,Los Angeles,0.3,Lowest,0.3,Lowest
Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,0.0,5.0,0.0,Non-Networked,J1772,public,PAY_GARAGE,5.0,False,True,False,94109.0,San Francisco,0.4597,Low,0.4597,Low
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,0.0,12.0,2.0,Non-Networked,CHADEMO J1772,public,MUNI_GOV,14.0,False,True,True,90401.0,Los Angeles,0.3,Lowest,0.3,Lowest
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,95482.0,Mendocino,0.4597,Low,0.4597,Low
Antioch Nissan,1831 Auto Center Dr,Antioch,CA,94509,0.0,1.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,2.0,False,True,True,94509.0,Contra Costa,0.4597,Low,0.4597,Low
Nissan of Bakersfield,2800 Pacheco Rd,Bakersfield,CA,93313,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,93313.0,Kern,0.4597,Low,0.4597,Low
Buena Park Nissan,6501 Auto Center Dr,Buena Park,CA,90621,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,90621.0,Orange,0.3869,Lowest,0.3869,Lowest
Carson Nissan,1505 E 223rd St,Carson,CA,90745,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,90745.0,Los Angeles,0.3,Lowest,0.3,Lowest
Palm Springs Nissan,68177 Kyle Rd,Cathedral City,CA,92234,0.0,1.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,2.0,False,True,True,92234.0,Riverside,0.3869,Lowest,0.3869,Lowest
Cerritos Nissan,18707 Studebaker Rd,Cerritos,CA,90703,0.0,1.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,2.0,False,True,True,90703.0,Los Angeles,0.3,Lowest,0.3,Lowest
Chico Nissan,575 Manzanita Ave,Chico,CA,95926,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,95926.0,Butte,0.4597,Low,0.4597,Low
Puente Hills Nissan,17320 E Gale Ave,City of Industry,CA,91748,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,91748.0,Los Angeles,0.3,Lowest,0.3,Lowest
Lithia Nissan - Clovis,370 W Herndon Ave,Clovis,CA,93612,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,93612.0,Fresno,0.4597,Low,0.4597,Low
Autocom Nissan - Concord,1290 Concord Ave,Concord,CA,94520,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,94520.0,Contra Costa,0.4597,Low,0.4597,Low
Larry H Miller Nissan,2575 Wardlow Rd,Corona,CA,92882,0.0,2.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,3.0,False,True,True,92882.0,Riverside,0.3869,Lowest,0.3869,Lowest
Orange Coast Nissan,2850 Harbor Blvd,Costa Mesa,CA,92626,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,92626.0,Orange,0.3869,Lowest,0.3869,Lowest
Hanlees Nissan,5009 Chiles Rd,Davis,CA,95618,0.0,1.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,2.0,False,True,True,95618.0,Solano,0.4597,Low,0.4597,Low
